,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data
21831,United States of America,Brunswick Nuclear,USA0006014,2003.2,33.9597,-78.0114,1976.0,Duke Energy Progress - (NC),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
21912,United States of America,Byron Generating Station,USA0006023,2449.8,42.0742,-89.2819,1986.0,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
22036,United States of America,Callaway,USA0006153,1235.8,38.7589,-91.7788,1985.0,Union Electric Co - (MO),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
22041,United States of America,Calvert Cliffs Nuclear Power Plant,USA0006011,1828.7,38.4344,-76.4417,1975.9960080931812,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
22168,United States of America,Catawba,USA0006036,2410.2,35.0514,-81.0694,1985.5,Duke Energy Carolinas  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
22425,United States of America,Clinton Power Station,USA0000204,1138.3,40.1719,-88.8339,1987.0,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
22501,United States of America,Columbia Generating Station,USA0000371,1200.0,46.4711,-119.3339,1985.0,Energy Northwest,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
22511,United States of America,Comanche Peak,USA0006145,2430.0,32.2984,-97.7855,1991.5,Luminant Generation Company LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
22552,United States of America,Cooper Nuclear Station,USA0008036,801.0,40.3628,-95.6408,1974.0,Nebraska Public Power District,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
22810,United States of America,Davis Besse,USA0006149,925.2,41.5967,-83.0861,1977.0,FirstEnergy Nuclear Operating Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
